(2) FEDERAL FST-150,(2) I.C. DEG-63P,2,5.81,1998,11—15,DUAL FUEL,#6,31810,Yes,2017,Elevator Apartments,127395,15,46,1926
(EX)FEDERAL  PLW 265,(NEW) POWERFLAME  C6-GO-30,2,10.9,1998,11—15,DUAL FUEL,#6,86140,No,0,Elevator Apartments,208560,10,239,1973
(EXIST)  FEDERAL FST-150,I.C. DEG-63 P,1,6.3,1997,11—15,DUAL FUEL,#6,31810,Yes,2017,Elevator Apartments,58260,6,68,1925
(EXIST) FEDERAL  FST-300,(NEW) S.T. JOHNSON  FD68 CAHM (SIZE 300),1,12.6,1999,11—15,DUAL FUEL,#6,91980,Yes,2020,Elevator Apartments,166596,14,61,1915
(EXIST)FEDERAL/EASTMOND  FST-250,(NEW)HEVE/ICI DEG-105 P,2,10.36,1999,11—15,DUAL FUEL,#6,68985,Yes,2016,Walk-Up Apartments,260000,19,210,1963
(EXISTING)  FEDERAL  FST-125,(NEW) ICI  DEG-54P,1,4.1,2005,5—10,DUAL FUEL,#6,26368,Yes,2017,Elevator Apartments,65692,5,74,1926
(EXISTING)  FEDERAL  FST-250,(NEW)  ICI   DEG-105P,1,8.3,2003,5—10,DUAL FUEL,#6,45550,Yes,2021,Elevator Apartments,176799,14,55,1925
(EXISTING)  FEDERAL  FST-80,(NEW) CARLING  1150  FFD,1,2.67,2003,5—10,DUAL FUEL,#4,18396,Yes,2014,Elevator Apartments,54000,6,49,1931
(EXISTING)  PACIFIC 60L2,INDUSTRIAL COMBUSTION    DEG-105,1,11,2007,5--,DUAL FUEL,#6,5017,Yes,2018,Elevator Apartments,141880,6,143,1957
(EXISTING)  ROCKMILLS   MP 175,(NEW)  ICI  DEG  84 (NEW),1,5.8,2003,5—10,DUAL FUEL,#4,35259,Yes,2018,Asylums & Homes,107701,11,67,1912
(EXISTING) FEDERAL   FST-125,(NEW) INDUSTRIAL COMBUSTION DEG-54,1,4.1,2006,5--,DUAL FUEL,#6,40242,Yes,2014,Condominiums,61770,6,60,1937
(EXISTING) FEDERAL   FST-250 SP  ,(NEW) S.T.JOHNSON   FD68CA250HM,1,8.3,2005,5—10,DUAL FUEL,#6,56700,Yes,2015,Elevator Apartments,159582,21,12,1963
(EXISTING) FEDERAL   FST-70 ,(NEW) ICI  MMG   28,1,2.34,2003,5—10,DUAL FUEL,#4,16097,No,0,Elevator Apartments,35814,6,41,1924
(EXISTING) FEDERAL  FLW 1822,(NEW) INDUSTRIAL COMBUSTION  DEG-84S,2,6.6,2003,5—10,DUAL FUEL,#4,38325,Yes,2015,Elevator Apartments,94404,12,95,1962
(EXISTING) FEDERAL  FMRA  1215,(NEW) INDUSTRIAL COMBUSTION  DEG-42P,1,4.4,2007,5--,DUAL FUEL,#4,22306,Yes,2022,Walk-Up Apartments,50855,5,66,1929
(EXISTING) FEDERAL  FST  200,(NEW) INDUSTRIAL COMBUSTION DEG 84,2,6.6,2008,5--,DUAL FUEL,#6,8256,Yes,2014,Walk-Up Apartments,147000,6,217,1954
(EXISTING) FEDERAL  FST 60,(NEW) INDUSTRIAL COMBUSTION  MMG-28,1,2,2008,5--,DUAL FUEL,#4,19857,No,0,Miscellaneous,22570,5,24,1920
(EXISTING) FEDERAL  FST-125,(NEW)  ICI  DEG-54P,2,4.1,2003,5—10,DUAL FUEL,#6,52735,Yes,2017,Elevator Apartments,126660,13,146,1989
(EXISTING) FEDERAL  FST-125,ICI MMG-54P (NEW),1,4.1,2005,5—10,DUAL FUEL,#4,287457,Yes,2020,Condominiums,63720,6,65,1928
(EXISTING) FEDERAL  FST-300,(NEW) ICI  DEG-145P,1,10.04,2003,5—10,DUAL FUEL,#6,65306,Yes,2019,Elevator Apartments,218536,15,217,1954
(EXISTING) FEDERAL-FST-100,(NEW) ICI-DEG-42P,1,4.2,2002,5—10,DUAL FUEL,#6,20772,Yes,2013,Walk-Up Apartments,64058,15,30,1926
(EXISTING) FITZGIBBONS #29,(NEW) INDUSTRIAL COMBUSTION-DEG-63S,1,5.6,2005,5—10,DUAL FUEL,#6,436,Yes,2021,Condominiums,176799,14,55,1925
(EXISTING) GABRALTER   GCB225,(NEW) INDUSTRIAL COMBUSTION   MEG-84S,1,7.75,2003,5—10,DUAL FUEL,#6,34339,Yes,2022,Elevator Apartments,97893,14,96,1962
(EXISTING) PACIFIC  52L2,(NEW)  INDUSTRIAL COMBUSTION  MEG 42,1,5.5,2008,5--,DUAL FUEL,#6,30168,Yes,2015,Elevator Apartments,61000,6,66,1959
(EXISTING) PACIFIC 5282, IC   DEG-42(P) ,1,5.5,2005,5—10,DUAL FUEL,#4,22306,Yes,2020,Office Buildings,58510,6,60,1928
(EXISTING) ROCKMILLS    MP 250,(NEW) INDUSTRIAL COMBUSTION  DEG 105,1,8.36,2003,5—10,DUAL FUEL,#6,79409,Yes,2019,Walk-Up Apartments,150033,13,96,1917
(EXISTING) ROCKMILLS   MP-125,(NEW) INDUSTRIAL COMBUSTION  MMG-54P,1,4.1,2005,5—10,DUAL FUEL,#4,14175,Yes,2019,Elevator Apartments,98800,10,52,1901
(EXISTING) ROCKMILLS  MP 100,INDUSTRIAL COMBUSTION  MEG  42,1,3.3,2008,5--,DUAL FUEL,#4,31137,Yes,2022,Hotels,57629,6,50,1929
(EXISTING) ROCKMILLS  MP 250,(NEW) ICI,1,0,2003,5—10,DUAL FUEL,#6,52275,Yes,2017,Walk-Up Apartments,132877,17,93,1926
(EXISTING) ROCKMILLS  MP-100,(NEW) ICI  DEG-42P,1,3.3,2005,5—10,DUAL FUEL,#6,20772,No,0,Churches,28416,6,31,1905
(EXISTING) ROCKMILLS  MP-100,(NEW) INDUSTRIAL COMBUSTION  MMG-42P,1,3.3,2005,5—10,DUAL FUEL,#4,22228,No,0,Walk-Up Apartments,39313,6,36,1909
(EXISTING) ROCKMILLS  MP-100,(REPLACEMENT) IC  MMG-42P,1,3.3,2005,5—10,DUAL FUEL,#4,22228,No,0,Elevator Apartments,20934,6,42,1900
(EXISTING) ROCKMILLS  MP-125,(NEW)  ICI   MMG-57P,1,4.1,2005,5—10,DUAL FUEL,#4,19688,Yes,2015,Elevator Apartments,85869,12,16,1911
(EXISTING) ROCKMILLS  MP-150,(REPLACEMENT) ICI  DEG-63P,1,5,2006,5--,DUAL FUEL,#6,31809,Yes,2017,Elevator Apartments,72700,6,96,1931
(EXISTING) ROCKMILLS  MP-250 #2 ONLY,(NEW)  INDUSTRIAL COMBUSTION  DEG-105,1,8.3,2008,5--,DUAL FUEL,#4,39705,Yes,2016,Educational Structures,130533,12,48,1914
(EXISTING) ROCKMILLS  MP-350, ICI  DEG-145P (NEW),1,11.7,2007,5--,DUAL FUEL,#6,71792,Yes,2020,Elevator Apartments,232458,18,20,1926
(EXISTING) ROCKMILLS  MP-4-186,(NEW) INDUSTRIAL COMBUSTION  DEG-84P,1,6.22,2003,5—10,DUAL FUEL,#6,42541,Yes,2018,Office Buildings,95977,20,86,1961
(EXISTING) ROCKMILLS  MP-70,(NEW) INDUSTRIAL COMBUSTION  MMG-28P,1,2.3,2008,5--,DUAL FUEL,#4,22419,No,0,Office Buildings,41963,6,48,1932
